entity	type	rank_sampling	rank_passive	rank_diff
Daniel_Guerrero_Gómez	wikicat_UDA_Gramenet_footballers	15606	13446	2160
Adolf_Hitler	wikicat_German_painters	3098	939	2159
Tom_Pondeljak	wikicat_Melbourne_Knights_FC_players	6184	4029	2155
William_Maxwell_(footballer)	wikicat_Belgium_national_football_team_managers	15057	12909	2148
Bonn	wikicat_Former_national_capitals	2208	65	2143
Thomas_Paine	wikicat_English_inventors	3251	1114	2137
Toshiko_Akiyoshi	wikicat_American_musicians_of_Japanese_descent	16646	14513	2133
Christian_Bassila	wikicat_French_expatriates_in_Greece	16213	14081	2132
Singapore	wikicat_Populated_coastal_places	4854	2727	2127
Pascal_Zuberbühler	wikicat_Bayer_04_Leverkusen_players	2450	325	2125
Janet_Frame	wikicat_20th-century_New_Zealand_novelists	14744	12619	2125
Ronald_Arana	wikicat_Club_Destroyers_players	17079	14961	2118
Tiro_Federal	wordnet_club_108227214	2432	319	2113
John_McCain	wikicat_Jeopardy!_contestants	15447	13348	2099
Bristol	wikicat_Post_towns_in_the_BS_postcode_area	12750	10652	2098
Alain_Delon	wikicat_21st-century_Swiss_people	14198	12120	2078
Hillsborough_County,_Florida	wikicat_Counties_in_the_Tampa_Bay_Area	16968	14898	2070
University_of_Pennsylvania	wikicat_Universities_and_colleges_in_Philadelphia,_Pennsylvania	15135	13070	2065
Liv_Tyler	wikicat_Transcendental_Meditation_practitioners	3293	1234	2059
Eleftheria_Arvanitaki	wikicat_Modern_Greek-language_singers	15648	13600	2048
Milford,_Delaware	wikicat_Cities_in_Delaware	12557	10519	2038
Alex_Afonso	wikicat_FC_Alverca_players	2546	533	2013
Kalusha_Bwalya	wikicat_People_from_Mufulira	16160	14148	2012
S.S._Felice_Scandone	wikicat_Sports_clubs_established_in_1948	15322	13325	1997
Neil_Jordan	wikicat_Irish_atheists	16613	14616	1997
Rachel_Weisz	wikicat_People_of_Hungarian_descent	16900	14903	1997
Captain_Beefheart	wikicat_American_sculptors	16861	14876	1985
Levan_Maghradze	wikicat_Ermis_Aradippou_players	2132	151	1981
50_Cent	wikicat_Aftermath_Entertainment_artists	16141	14163	1978
Valberto_Amorim_dos_Santos	wikicat_Montedio_Yamagata_players	17212	15252	1960
Cyprus	wikicat_States_and_territories_established_in_1960	2468	521	1947
Florianópolis	wikicat_State_capitals_in_Brazil	2088	149	1939
John_Eccles_(neurophysiologist)	wikicat_Companions_of_the_Order_of_Australia	6144	4218	1926
Aaran_Lines	wikicat_VfL_Osnabrück_players	2395	476	1919
El_Salvador	wikicat_States_and_territories_established_in_1842	2825	918	1907
Panevėžys_County	wikicat_Subdivisions_of_Lithuania	13352	11467	1885
Saul_Kripke	wikicat_People_from_Omaha,_Nebraska	5195	3312	1883
Marie_Curie	wikicat_Women_Nobel_laureates	7259	5399	1860
Sétif_Province	wordnet_administrative_district_108491826	1899	44	1855
Jean-Luc_Godard	wikicat_French_experimental_filmmakers	16680	14845	1835
PSFC_Chernomorets_Burgas	wikicat_Sports_clubs_established_in_2005	4961	3134	1827
Red_Sea	wordnet_lake_109328904	14381	12557	1824
Queen's_University	wikicat_Educational_institutions_established_in_1841	11120	9297	1823
Ara_Hakobyan	wikicat_FC_Zimbru_Chișinău_players	15104	13285	1819
Peter_O'Donnell	wikicat_English_romantic_fiction_writers	14784	12971	1813
San_Francisco_Seals_(soccer)	wikicat_California_soccer_teams	3198	1390	1808
Scania	wikicat_Regions_of_Europe	2018	235	1783
Videoton_FC	wordnet_club_108227214	1867	95	1772
Alexandria_(Virginia)	wikicat_Populated_places_established_in_1695	12306	10539	1767
Marie_Curie	wikicat_Women_chemists	13960	12194	1766
Ernest_Gold_(composer)	wikicat_Austrian_film_score_composers	16352	14587	1765
Montgomery_Clift	wikicat_Bisexual_actors	14863	13104	1759
Fausto_Lourenço	wikicat_PFC_Lokomotiv_Mezdra_players	13611	11857	1754
Daigo_Kobayashi	wikicat_Japanese_expatriates_in_the_United_States	14008	12261	1747
Roy_Ashburn	wikicat_People_from_Long_Beach,_California	16048	14304	1744
Dietmar_Hamann	wikicat_German_expatriates_in_England	15568	13824	1744
Jack_Pelter	wikicat_Canterbury_United_players	15446	13711	1735
Tim_Berners-Lee	wikicat_Internet_pioneers	1801	66	1735
Mao_Zedong	wikicat_Communist_rulers	16362	14639	1723
Great_Turkish_War	wikicat_Russo-Turkish_Wars	15262	13544	1718
Stephen_Fry	wikicat_Rectors_of_the_University_of_Dundee	17248	15560	1688
Abdus_Salam	wikicat_Pakistani_physicists	15414	13727	1687
Prince_Philip,_Duke_of_Edinburgh	wikicat_British_people_of_German_descent	5234	3548	1686
Martin_Luther_King,_Jr.	wikicat_American_humanitarians	1801	129	1672
Midge_Ure	wikicat_Scottish_guitarists	13858	12190	1668
Nenad_Mladenović	wikicat_Changsha_Ginde_players	4595	2937	1658
Pim_Fortuyn_List	wikicat_Defunct_political_parties_in_the_Netherlands	14902	13246	1656
Vesa-Matti_Loiri	wikicat_Finnish_people	1893	275	1618
La_Paz	wikicat_Populated_places_established_in_1548	10744	9130	1614
Takayuki_Hattori	wikicat_Japanese_film_score_composers	17132	15525	1607
Russian_Civil_War	wikicat_Conflicts_in_1919	12626	11022	1604
Kotka	wikicat_Populated_places_established_in_1879	16038	14456	1582
A.F.C._Hornchurch	wikicat_Football_clubs_in_England	2810	1232	1578
VVV-Venlo	wikicat_Football_clubs_in_the_Netherlands	1649	72	1577
Queen's_University	wikicat_Nursing_schools_in_Canada	10008	8433	1575
Voltaire	wikicat_Encyclopedists	7248	5674	1574
Meryl_Streep	wikicat_Vassar_College_alumni	3115	1545	1570
SFC_Opava	wikicat_Association_football_clubs_established_in_1907	1633	69	1564
Romeo_Filipović	wikicat_NK_Karlovac_players	16721	15179	1542
NK_Bravo1_Interblock	wikicat_Association_football_clubs_established_in_1975	3205	1665	1540
James_Hetfield	wikicat_Baritones	17304	15780	1524
Aldous_Huxley	wikicat_Writers_from_Los_Angeles,_California	3759	2246	1513
Cabeça_do_Cachorro	wikicat_Regions_of_South_America	11648	10135	1513
Barak_Badash	wikicat_Football_players_from_Netanya	14642	13135	1507
J._R._Reid	wikicat_Olympic_bronze_medalists_for_the_United_States	15778	14272	1506
Alfred_Tarski	wikicat_Computability_theorists	17202	15704	1498
Maggie_Gyllenhaal	wikicat_American_anti–Iraq_War_activists	2723	1237	1486
Rhode_Island	wikicat_States_and_territories_established_in_1663	8595	7110	1485
Rudolf_Peierls	wikicat_Materials_scientists_and_engineers	1781	303	1478
Maria_Bello	wikicat_Lesbian_actresses	15363	13895	1468
Tacloban	wikicat_Cities_in_the_Philippines	13844	12380	1464
Ronald_Coase	wikicat_People_from_Brent_(London_borough)	16769	15315	1454
Piermario_Morosini	wikicat_People_from_Bergamo	17349	15902	1447
Aaran_Lines	wikicat_Rochester_Rhinos_players	2270	825	1445
Radomir_Đalović	wikicat_Montenegrin_expatriates_in_Germany	14266	12824	1442
The_Bronx	wikicat_Populated_places_established_in_1639	1659	228	1431
PBC_Lokomotiv-Kuban	wikicat_Sports_clubs_established_in_1946	1545	123	1422
Jun_Senoue	wikicat_People_from_Miyagi_Prefecture	1534	114	1420
Jack_Reynolds_(footballer_born_1881)	wikicat_Netherlands_national_football_team_managers	12733	11313	1420
Michel_de_Montaigne	wikicat_French_abolitionists	2093	674	1419
Lyndon_B._Johnson	wikicat_American_gun_control_advocates	15161	13745	1416
Craig_Armstrong_(footballer)	wikicat_Eastwood_Town_F.C._players	2028	617	1411
Carmine_Coppola_(footballer)	wikicat_Taranto_F.C._1927_players	15300	13912	1388
Four_Tet	wikicat_Ableton_Live_users	15145	13762	1383
Narbonne	wikicat_Communes_of_Aude	15369	14001	1368
Charles_Scott_Sherrington	wikicat_19th-century_physicians	3645	2281	1364
Carl_Friedrich_Gauss	wikicat_Statisticians	2463	1107	1356
Gosford_Park	wikicat_British_crime_films	15677	14322	1355
Disney–ABC_Television_Group	wikicat_Walt_Disney_Company_subsidiaries	14294	12941	1353
Kota_Bharu	wordnet_administrative_district_108491826	1734	382	1352
Roscoe_Arbuckle	wikicat_Male_actors_from_Kansas	16791	15442	1349
Frank_Arnesen	wikicat_Association_football_executives	3190	1847	1343
Columbia_Law_School	wikicat_Educational_institutions_established_in_1858	1930	593	1337
Reggie_Davani	wikicat_Expatriate_soccer_players_in_Australia	1397	62	1335
FK_Banat_Zrenjanin	wikicat_Football_clubs_in_Vojvodina	11830	10502	1328
Liberal_Democrats	wikicat_Liberal_parties_in_the_United_Kingdom	12205	10885	1320
Karl_Marx	wikicat_Sociologists	2814	1501	1313
FIFA_World_Player_of_the_Year	wikicat_Awards_established_in_2001	16766	15454	1312
Andreas_Glyniadakis	wikicat_New_Mexico_Thunderbirds_players	15745	14443	1302
Pierce_Brosnan	wikicat_Irish_television_actors	16092	14813	1279
Ville_Väisänen	wikicat_Bryne_FK_players	14253	12988	1265
Southport,_Queensland	wikicat_Coastal_towns_in_Queensland	15940	14677	1263
New_Ireland_Province	wikicat_Islands_of_Papua_New_Guinea	13958	12712	1246
San_Jose_Earthquakes_(1974–88)	wikicat_Western_Soccer_Alliance_teams	13602	12358	1244
Buckethead	wikicat_American_bluegrass_guitarists	15704	14467	1237
Nelson_Mandela	wikicat_South_African_humanitarians	14638	13415	1223
Joel_Soto	wikicat_Deportes_Concepción_footballers	2407	1200	1207
Atlético_Celaya	wikicat_Football_clubs_in_Celaya	13458	12258	1200
Carlos_Navarro_Montoya	wikicat_Colombian_football_managers	15455	14258	1197
Alex_Nyarko	wikicat_Footballers_at_the_1992_Summer_Olympics	1398	205	1193
Ryan_Mack	wikicat_Syracuse_Salty_Dogs_players	12851	11661	1190
Kigali	wikicat_Populated_places_established_in_1907	4532	3356	1176
Amherst_College	wikicat_Educational_institutions_established_in_1821	1602	426	1176
Marques_Houston	wikicat_American_people_of_Mexican_descent	4140	2973	1167
Vince_Clarke	wikicat_People_from_Redbridge_(London_borough)	2469	1311	1158
Ebrahim_Taghipour	wikicat_Esteghlal_F.C._players	2430	1291	1139
Wellington_da_Silva_Serezuella	wikicat_Associação_Ferroviária_de_Esportes_players	1270	132	1138
Sylvia_Plath	wikicat_Writers_from_Boston,_Massachusetts	4526	3393	1133
Gurban_Gurbanov	wikicat_Azerbaijani_football_managers	15619	14489	1130
Jonathan_Téhoué	wikicat_UJA_Alfortville_players	14321	13219	1102
G._K._Chesterton	wikicat_Alumni_of_University_College_London	1517	418	1099
Winston_Churchill	wikicat_Secretaries_of_State_for_the_Home_Department	14507	13415	1092
Millonarios_Fútbol_Club	wikicat_Categoría_Primera_A_clubs	1278	187	1091
Jean-Paul_Sartre	wikicat_Autobiographers	2043	956	1087
Asrani	wikicat_Sindhi_people	15060	13981	1079
Siyabonga_Nomvethe	wikicat_People_from_Durban	1417	343	1074
Linlithgow_Rose_F.C.	wikicat_Association_football_clubs_established_in_1889	1148	76	1072
Nicolae_Iorga	wikicat_Poets	13529	12471	1058
Paul_Simon	wikicat_American_acoustic_guitarists	15981	14936	1045
Zé_Ramalho	wikicat_Brazilian_guitarists	15246	14203	1043
Bernard_Cornwell	wikicat_Alumni_of_the_University_of_London	11575	10538	1037
Robin_Cook_(American_novelist)	wikicat_20th-century_physicians	3648	2614	1034
Diagoras_F.C.	wikicat_Association_football_clubs_established_in_1905	1483	449	1034
Milovan_Milović	wikicat_Albanian_Superliga_players	16096	15070	1026
Andrzej_Bledzewski	wikicat_Miedź_Legnica_players	13271	12246	1025
Miranda_Cooper	wikicat_British_female_singers	1973	954	1019
Julio_Cortázar	wikicat_Argentine_expatriates_in_France	16767	15758	1009
