entity	type	rank_sampling	rank_passive	rank_diff	upgrade_score
Ilkeston_F.C.	wikicat_Southern_Football_League_clubs	39	1	38	38.0
Norm_Macdonald	wikicat_Living_people	36	1	35	35.0
Robert_I,_Duke_of_Parma	wordnet_sovereign_110628644	36	1	35	35.0
Dave_Norton	wikicat_Notts_County_F.C._players	139	4	135	33.75
Bonn	wikicat_Former_national_capitals	2208	65	2143	32.96923076923077
Bradley_Thomas_(footballer)	wikicat_Weymouth_F.C._players	167	5	162	32.4
Regional_Municipality_of_Peel	wordnet_administrative_district_108491826	166	5	161	32.2
Aleutians_East_Borough,_Alaska	wordnet_county_108546183	166	5	161	32.2
Werder_Bremen	wordnet_club_108227214	66	2	64	32.0
Rome,_New_York	wordnet_administrative_district_108491826	32	1	31	31.0
San_Antonio	wikicat_Cities_in_Texas	31	1	30	30.0
Club_Blooming	wikicat_Football_clubs_in_Bolivia	5564	185	5379	29.075675675675676
George_Dantzig	wikicat_American_computer_scientists	925	31	894	28.838709677419356
Jair_Baylón	wikicat_Expatriate_footballers_in_Uruguay	298	10	288	28.8
Zhuhai_Jinwan_Airport	wikicat_Airports_in_Guangdong	89	3	86	28.666666666666668
Putrajaya	wikicat_Capitals_in_Asia	29	1	28	28.0
Randers_FC	wordnet_club_108227214	58	2	56	28.0
Tim_Berners-Lee	wikicat_Internet_pioneers	1801	66	1735	26.28787878787879
NK_Neretva	wikicat_Football_clubs_in_Croatia	132	5	127	25.4
Roger_Ebert	wordnet_writer_110794014	26	1	25	25.0
Raleigh–Durham_International_Airport	wikicat_Airfields_of_the_United_States_Army_Air_Forces_Technical_Service_Command	51	2	49	24.5
Nobel_Prize_in_Literature	wikicat_Swedish_awards	301	12	289	24.083333333333332
Ben_Sahar	wikicat_Israeli_footballers	50	2	48	24.0
Le_Havre_AC	wikicat_Football_clubs_in_France	1025	41	984	24.0
Sultan_Syarif_Kasim_II_International_Airport	wordnet_airport_102692232	25	1	24	24.0
Adalto_Batista_da_Silva	wikicat_Guarani_Futebol_Clube_players	25	1	24	24.0
The_Dirty_Dozen	wikicat_Films_based_on_novels	95	4	91	22.75
SFC_Opava	wikicat_Association_football_clubs_established_in_1907	1633	69	1564	22.666666666666668
Tayt_Ianni	wikicat_United_States_men's_international_soccer_players	46	2	44	22.0
VVV-Venlo	wikicat_Football_clubs_in_the_Netherlands	1649	72	1577	21.90277777777778
Reggie_Davani	wikicat_Expatriate_soccer_players_in_Australia	1397	62	1335	21.532258064516128
Reykjavík	wikicat_Port_cities	381	17	364	21.41176470588235
Howard_Shore	wikicat_Living_people	42	2	40	20.0
Iberian_Peninsula	wikicat_Regions_of_Europe	428	21	407	19.38095238095238
ND_Gorica	wikicat_Football_clubs_in_Slovenia	40	2	38	19.0
Porto-Novo	wikicat_Capitals	40	2	38	19.0
Videoton_FC	wordnet_club_108227214	1867	95	1772	18.652631578947368
Torquay_United_F.C.	wikicat_Association_football_clubs_established_in_1899	333	17	316	18.58823529411765
Alappuzha	wikicat_Cities_and_towns_in_Kerala	39	2	37	18.5
Giuliano_Amato	wikicat_Living_people	39	2	37	18.5
Arne_Friedrich	wikicat_German_expatriate_footballers	58	3	55	18.333333333333332
Paulo_Marcel_Pereira_Merabet	wikicat_K.S.C._Lokeren_Oost-Vlaanderen_players	38	2	36	18.0
Ronald_Arana	wikicat_Expatriate_footballers_in_Argentina	19	1	18	18.0
Richard_Feynman	wikicat_Jewish_American_scientists	19	1	18	18.0
Thelma_Schoonmaker	wikicat_Living_people	38	2	36	18.0
A.F.C._Bournemouth	wordnet_club_108227214	18	1	17	17.0
Nikita_Rukavytsya	wikicat_2._Bundesliga_players	72	4	68	17.0
Legazpi,_Albay	wordnet_administrative_district_108491826	18	1	17	17.0
Preston_North_End_F.C.	wikicat_Publicly_traded_sports_companies	349	20	329	16.45
Václav_Klaus	wikicat_Living_people	418	24	394	16.416666666666668
Le_Havre_A.C.	wordnet_club_108227214	657	38	619	16.289473684210527
De_Graafschap	wordnet_club_108227214	69	4	65	16.25
Second_Crusade	wordnet_conflict_100958896	2925	170	2755	16.205882352941178
Oscar_Dertycia	wikicat_Talleres_footballers	117	7	110	15.714285714285714
Godsmack	wikicat_Musical_groups_established_in_1996	1069	66	1003	15.196969696969697
Anambra_State	wordnet_administrative_district_108491826	16	1	15	15.0
Yale_School_of_Drama	wikicat_Drama_schools_in_the_United_States	432	27	405	15.0
Jeonnam_Dragons	wikicat_K_League_Classic_clubs	814	52	762	14.653846153846153
Manchester_United_F.C.	wikicat_G-14_clubs	46	3	43	14.333333333333334
Linlithgow_Rose_F.C.	wikicat_Association_football_clubs_established_in_1889	1148	76	1072	14.105263157894736
FC_Arsenal_Kyiv	wikicat_Association_football_clubs_established_in_1934	3397	226	3171	14.030973451327434
Charlotte_Rampling	wikicat_Living_people	15	1	14	14.0
Walter_Novellino	wikicat_A.C._Legnano_players	13000	870	12130	13.942528735632184
Abu_Dhabi	wikicat_Port_cities_in_the_Arabian_Peninsula	2658	179	2479	13.849162011173185
Club_Social_y_Deportivo_Macará	wikicat_Association_football_clubs_established_in_1939	5818	393	5425	13.804071246819339
Ninoslav_Milenković	wikicat_K._Sint-Truidense_V.V._players	3003	207	2796	13.507246376811594
Richard_Garcia	wikicat_Hull_City_A.F.C._players	57	4	53	13.25
Levan_Maghradze	wikicat_Ermis_Aradippou_players	2132	151	1981	13.119205298013245
Alaska	wikicat_States_and_territories_established_in_1959	197	14	183	13.071428571428571
Florianópolis	wikicat_State_capitals_in_Brazil	2088	149	1939	13.013422818791947
Bret_McKenzie	wikicat_21st-century_New_Zealand_male_actors	14	1	13	13.0
Strasbourg	wordnet_country_108544813	28	2	26	13.0
Drama_Desk_Award	wikicat_Theatre_awards	70	5	65	13.0
Martin_Luther_King,_Jr.	wikicat_American_humanitarians	1801	129	1672	12.96124031007752
Mali_national_football_team	wordnet_football_team_108080025	179	13	166	12.76923076923077
Australian_Capital_Territory	wordnet_administrative_district_108491826	243	18	225	12.5
Strasbourg	wikicat_Prefectures_in_France	27	2	25	12.5
Jun_Senoue	wikicat_People_from_Miyagi_Prefecture	1534	114	1420	12.456140350877194
MFK_Ružomberok	wikicat_Association_football_clubs_established_in_1906	453	34	419	12.323529411764707
Alex_Bruce_(footballer,_born_1984)	wikicat_Oldham_Athletic_A.F.C._players	92	7	85	12.142857142857142
Red_Sea	wikicat_Biblical_places	2712	207	2505	12.101449275362318
Ribeirão_Preto	wordnet_administrative_district_108491826	13	1	12	12.0
Bogotá	wikicat_Capitals_in_South_America	52	4	48	12.0
Iván_Guerrero	wikicat_Colorado_Rapids_players	13	1	12	12.0
Aşgabat_FT	wordnet_club_108227214	13	1	12	12.0
MFC_Kremin_Kremenchuk	wikicat_Association_football_clubs_established_in_1959	305	24	281	11.708333333333334
PBC_Lokomotiv-Kuban	wikicat_Sports_clubs_established_in_1946	1545	123	1422	11.560975609756097
Delron_Buckley	wikicat_Borussia_Dortmund_II_players	2459	197	2262	11.48223350253807
Georg_Wilhelm_Friedrich_Hegel	wikicat_German_logicians	49	4	45	11.25
Kazuyuki_Toda	wikicat_Expatriate_footballers_in_England	48	4	44	11.0
Rochester,_New_York	wordnet_administrative_district_108491826	12	1	11	11.0
André_Guerreiro_Rocha	wikicat_Expatriate_footballers_in_Greece	12	1	11	11.0
Tunis	wikicat_Capitals_in_Africa	12	1	11	11.0
Puerto_Cabello	wikicat_Port_cities	12	1	11	11.0
Gmina_Szelków	wordnet_administrative_district_108491826	538	47	491	10.446808510638299
Kalusha_Bwalya	wikicat_Club_Necaxa_footballers	68	6	62	10.333333333333334
Paraná_Clube	wordnet_club_108227214	11	1	10	10.0
Pyongyang	wikicat_Capitals_in_Asia	22	2	20	10.0
Robert_Rich_(musician)	wikicat_Electronic_musicians	22	2	20	10.0
Alicante_CF	wikicat_Football_clubs_in_Spain	11	1	10	10.0
RCD_Mallorca	wikicat_Organisations_based_in_Spain_with_royal_patronage	11	1	10	10.0
Ilya_Maksimov	wikicat_FC_Shinnik_Yaroslavl_players	76	7	69	9.857142857142858
Gimnástica_de_Torrelavega	wikicat_Association_football_clubs_established_in_1907	464	43	421	9.790697674418604
Manchester_United_F.C.	wikicat_Association_football_clubs_established_in_1878	43	4	39	9.75
FC_Pyunik	wikicat_Association_football_clubs_established_in_1996	32	3	29	9.666666666666666
Zlatko_Yankov	wikicat_1994_FIFA_World_Cup_players	32	3	29	9.666666666666666
Royal_Tunbridge_Wells	wikicat_Towns_in_Kent	42	4	38	9.5
Dai_Nagao	wordnet_artist_109812338	21	2	19	9.5
Piarco_International_Airport	wikicat_Airfields_of_the_United_States_Army_Air_Forces	292	28	264	9.428571428571429
Karachi	wikicat_Capitals_of_Pakistan	31	3	28	9.333333333333334
Gençlerbirliği_S.K.	wordnet_club_108227214	10	1	9	9.0
FC_Andorra	wikicat_Football_clubs_in_Spain	10	1	9	9.0
Brasília	wikicat_States_of_Brazil	40	4	36	9.0
T._S._Eliot	wikicat_Wesleyan_University_people	1118	112	1006	8.982142857142858
Isidor_Isaac_Rabi	wikicat_Jewish_American_scientists	68	7	61	8.714285714285714
Sydney_Brenner	wikicat_Biologists	184	19	165	8.68421052631579
Sebastian_Helbig	wikicat_Bayer_04_Leverkusen_players	29	3	26	8.666666666666666
Susan_Sontag	wikicat_21st-century_American_writers	29	3	26	8.666666666666666
Wellington_da_Silva_Serezuella	wikicat_Associação_Ferroviária_de_Esportes_players	1270	132	1138	8.621212121212121
Leonid_Hurwicz	wordnet_person_100007846	115	12	103	8.583333333333334
Zeeland	wikicat_States_of_the_Holy_Roman_Empire	19	2	17	8.5
FC_Stal_Alchevsk	wikicat_Football_clubs_in_Ukraine	19	2	17	8.5
Inter_Baku_PIK	wikicat_Association_football_clubs_established_in_1997	171	18	153	8.5
Thomas_Jefferson	wikicat_Protestant_philosophers	3652	386	3266	8.461139896373057
Bucholz_Army_Airfield	wordnet_airport_102692232	28	3	25	8.333333333333334
José_Augusto_Freitas_Sousa	wikicat_Bangu_Atlético_Clube_players	261	28	233	8.321428571428571
Ronald_Fisher	wikicat_British_astronomers	65	7	58	8.285714285714286
Aria_(film)	wikicat_Miramax_Films_films	102	11	91	8.272727272727273
Vladislav_Stoyanov	wikicat_Expatriate_footballers_in_Moldova	3016	327	2689	8.223241590214068
Leonid_Hurwicz	wikicat_Jewish_American_scientists	110	12	98	8.166666666666666
Anchorage,_Alaska	wikicat_Alaska_boroughs	679	75	604	8.053333333333333
Daigo_Kobayashi	wikicat_Norwegian_Premier_League_players	18	2	16	8.0
Southampton	wikicat_Port_cities	9	1	8	8.0
Uvalde,_Texas	wikicat_Cities_in_Texas	9	1	8	8.0
Flamurtari_Vlorë	wordnet_club_108227214	9	1	8	8.0
FC_Atyrau	wordnet_club_108227214	9	1	8	8.0
FC_Dnepr_Mogilev	wordnet_club_108227214	9	1	8	8.0
Mark_Fotheringham	wikicat_Scottish_expatriate_footballers	107	12	95	7.916666666666667
Southeast_Asia	wikicat_Regions_of_Asia	294	34	260	7.647058823529412
Danny_Higginbotham	wikicat_English_expatriate_footballers	69	8	61	7.625
F.C._Dynamo_Kyiv	wordnet_club_108227214	43	5	38	7.6
Scania	wikicat_Regions_of_Europe	2018	235	1783	7.587234042553192
James_Ivory_(director)	wikicat_American_people_of_Irish_descent	60	7	53	7.571428571428571
C.R._Vasco_da_Gama	wikicat_Association_football_clubs_established_in_1898	454	53	401	7.566037735849057
Dave_Mitchell_(footballer)	wikicat_Australian_expatriates_in_Turkey	17	2	15	7.5
Wales	wikicat_Island_countries	17	2	15	7.5
Precious_Emuejeraye	wikicat_Expatriate_footballers_in_Indonesia	68	8	60	7.5
Ivor_Novello_Awards	wordnet_award_106696483	186	22	164	7.454545454545454
Portland,_Oregon	wikicat_Populated_places_on_the_Columbia_River	650	77	573	7.441558441558442
Leandro_Lourenço_Franco	wikicat_Sport_Boys_footballers	669	80	589	7.3625
Jean_Michel_Jarre	wikicat_French_composers	25	3	22	7.333333333333333
Bytów_County	wordnet_administrative_district_108491826	100	12	88	7.333333333333333
Haruki_Murakami	wikicat_20th-century_novelists	50	6	44	7.333333333333333
Germán_Herrera	wikicat_Campeonato_Brasileiro_Série_A_footballers	58	7	51	7.285714285714286
Tunis	wikicat_Capitals	404	49	355	7.244897959183674
Club_Atlético_Sarmiento	wordnet_club_108227214	7499	910	6589	7.240659340659341
Gina_Lollobrigida	wikicat_Italian_women	41	5	36	7.2
Deluge_(history)	wikicat_Wars_involving_Sweden	49	6	43	7.166666666666667
Gimnàstic_de_Tarragona	wikicat_Football_clubs_in_Spain	8672	1071	7601	7.097105508870214
Los_Angeles_International_Airport	wordnet_airport_102692232	8	1	7	7.0
Deportivo_Quito	wordnet_club_108227214	8	1	7	7.0
Maputo	wikicat_Port_cities_in_Africa	24	3	21	7.0
Dario_Dabac	wikicat_Sanfrecce_Hiroshima_players	8	1	7	7.0
Saunders_Mac_Lane	wikicat_American_people	8	1	7	7.0
Wu-Tang_Clan	wordnet_artist_109812338	8	1	7	7.0
Aleksandar_Trišović	wikicat_FC_Metalist_Kharkiv_players	16	2	14	7.0
Mato_Neretljak	wikicat_K_League_players	16	2	14	7.0
Steve_Bowey	wikicat_Bristol_Rovers_F.C._players	16	2	14	7.0
Popular_Republican_Movement	wikicat_Catholic_political_parties	47	6	41	6.833333333333333
Alekos_Alekou	wikicat_Expatriate_footballers_in_Hungary	70	9	61	6.777777777777778
Huddersfield_Town_F.C.	wikicat_Association_football_clubs_established_in_1908	70	9	61	6.777777777777778
Eduardo_Gonçalves_de_Oliveira	wikicat_Brazil_international_footballers	101	13	88	6.769230769230769
Portuguese_Empire	wikicat_Overseas_empires	115	15	100	6.666666666666667
Tiro_Federal	wordnet_club_108227214	2432	319	2113	6.623824451410658
Pascal_Zuberbühler	wikicat_Bayer_04_Leverkusen_players	2450	325	2125	6.538461538461538
Warriors_F.C.	wikicat_Association_football_clubs_established_in_1975	45	6	39	6.5
Mitrovica,_Kosovo	wordnet_administrative_district_108491826	15	2	13	6.5
Jack_Cork	wikicat_Association_football_defenders	30	4	26	6.5
Bolton_Wanderers_F.C.	wikicat_Association_football_clubs_established_in_1874	359	48	311	6.479166666666667
Deportivo_Cuenca	wikicat_Association_football_clubs_established_in_1971	88	12	76	6.333333333333333
Ronald_Fisher	wikicat_English_mathematicians	88	12	76	6.333333333333333
S.S._Lazio	wikicat_Multi-sport_clubs	110	15	95	6.333333333333333
Ricardo_Montalbán	wikicat_American_film_directors	95	13	82	6.3076923076923075
The_Bronx	wikicat_Populated_places_established_in_1639	1659	228	1431	6.276315789473684
Hanoi	wikicat_Populated_places_established_in_the_11th_century	5218	718	4500	6.2674094707520895
Eleftheria_Arvanitaki	wikicat_Singers	138	19	119	6.2631578947368425
Danny_Graham_(footballer)	wikicat_Blackpool_F.C._players	29	4	25	6.25
Adap_Galo_Maringá_Football_Club	wikicat_Association_football_clubs_established_in_2006	10070	1391	8679	6.239396117900791
Luke_Corbett	wikicat_Association_football_forwards	57	8	49	6.125
Godfrey_Ingram	wikicat_Major_Indoor_Soccer_League_(1978–92)_players	57	8	49	6.125
Le_streghe	wikicat_Comedy-drama_films	169	24	145	6.041666666666667
Honolulu	wikicat_Port_cities	7	1	6	6.0
Williams_Martínez	wikicat_Expatriate_footballers_in_France	7	1	6	6.0
Borussia_Dortmund	wordnet_club_108227214	7	1	6	6.0
Maksym_Levytskyi	wikicat_Ligue_1_players	7	1	6	6.0
Holy_Roman_Empire	wordnet_country_108544813	7	1	6	6.0
American_Revolutionary_War	wikicat_Wars_involving_France	7	1	6	6.0
Nelson_Mandela	wikicat_Marxist_writers	1009	145	864	5.958620689655173
Battle_of_Leipzig	wikicat_Conflicts_in_1813	465	67	398	5.940298507462686
Francisco_Ferreira_(Paraguayan_footballer)	wikicat_Oriente_Petrolero_players	111	16	95	5.9375
Borough_of_Milton_Keynes	wordnet_county_108546183	11932	1722	10210	5.929152148664344
Alphonse_Tchami	wikicat_1994_FIFA_World_Cup_players	76	11	65	5.909090909090909
Vesa-Matti_Loiri	wikicat_Finnish_people	1893	275	1618	5.883636363636364
Steve_Jones_(Northern_Irish_footballer)	wikicat_Northern_Premier_League_players	48	7	41	5.857142857142857
Millonarios_Fútbol_Club	wikicat_Categoría_Primera_A_clubs	1278	187	1091	5.834224598930481
Keanu_Reeves	wikicat_American_television_actors	82	12	70	5.833333333333333
Alex_Nyarko	wikicat_Footballers_at_the_1992_Summer_Olympics	1398	205	1193	5.819512195121951
Rijeka_Airport	wordnet_airport_102692232	27	4	23	5.75
Emsland	wordnet_district_108552138	133	20	113	5.65
Republican_Party_(United_States)	wikicat_International_Democrat_Union_member_parties	13	2	11	5.5
FC_Steaua_București	wordnet_club_108227214	13	2	11	5.5
Zoran_Milinković_(footballer)	wikicat_FK_Vojvodina_players	13	2	11	5.5
Subrahmanyan_Chandrasekhar	wikicat_American_people	26	4	22	5.5
Gustav_Kirchhoff	wikicat_Ethnic_German_people	13	2	11	5.5
New_Delhi	wikicat_Capitals_in_Asia	279	43	236	5.488372093023256
Andrey_Movsisyan	wikicat_FC_Lokomotiv_Nizhny_Novgorod_players	123	19	104	5.473684210526316
L.D._Alajuelense	wikicat_Association_football_clubs_established_in_1919	303	47	256	5.446808510638298
Ulisses_FC	wordnet_club_108227214	32	5	27	5.4
Teemu_Pukki	wikicat_FC_Schalke_04_players	51	8	43	5.375
County_Tipperary	wordnet_administrative_district_108491826	305	49	256	5.224489795918367
Trinity_University_(Texas)	wikicat_Educational_institutions_established_in_1873	4681	753	3928	5.2164674634794155
Blace	wordnet_administrative_district_108491826	185	30	155	5.166666666666667
Tivoli,_Lazio	wikicat_Archaeological_sites_in_Italy	55	9	46	5.111111111111111
Ikechi_Anya	wikicat_Watford_F.C._players	299	49	250	5.1020408163265305
Bernie_Lilavois	wikicat_Portland_Pythons_players	61	10	51	5.1
Club_Deportivo_Olimpia	wordnet_club_108227214	61	10	51	5.1
Punjab_region	wikicat_Empires_and_kingdoms_of_India	128	21	107	5.095238095238095
Enrico_Fermi_Award	wikicat_Physics_awards	79	13	66	5.076923076923077
Miami_University	wikicat_Universities_and_colleges_in_Ohio	127	21	106	5.0476190476190474
Michael_Black_(footballer)	wikicat_Boreham_Wood_F.C._players	470	78	392	5.0256410256410255
Chad_Harpur	wikicat_Dundee_F.C._players	6	1	5	5.0
FK_Vojvodina	wikicat_Football_clubs_in_Serbia	24	4	20	5.0
Bobby_Weale	wikicat_Welsh_footballers	18	3	15	5.0
Stuart_Nicholson	wikicat_Tamworth_F.C._players	6	1	5	5.0
Katsuhiro_Otomo	wikicat_Manga_artists	6	1	5	5.0
Uvalde,_Texas	wikicat_County_seats_in_Texas	6	1	5	5.0
Baltimore_County,_Maryland	wordnet_county_108546183	6	1	5	5.0
Jonathan_Walters	wikicat_English_footballers	6	1	5	5.0
Apocalypse_Now	wikicat_American_war_films	6	1	5	5.0
Raša,_Istria_County	wikicat_Municipalities_of_Croatia	6	1	5	5.0
Greg_Strong	wikicat_Scottish_Premier_League_players	6	1	5	5.0
Santos	wikicat_Port_cities_in_Brazil	6	1	5	5.0
Dino_Fava	wikicat_A.S._Varese_1910_players	12	2	10	5.0
University_of_Münster	wikicat_Universities_in_Germany	6	1	5	5.0
Ravi_Shankar	wikicat_20th-century_composers	6	1	5	5.0
Leandro_Bernardi_Silva	wikicat_Paysandu_Sport_Club_players	114	19	95	5.0
Zoran_Milinković_(footballer)	wikicat_Expatriate_footballers_in_France	12	2	10	5.0
Finland_national_football_team	wikicat_National_sports_teams_of_Finland	65	11	54	4.909090909090909
New_Orleans	wikicat_Port_cities	1013	172	841	4.8895348837209305
Rudolf_Peierls	wikicat_Materials_scientists_and_engineers	1781	303	1478	4.877887788778878
Little_Rock,_Arkansas	wikicat_Cities_in_the_United_States	94	16	78	4.875
Wisła_Kraków	wikicat_Basketball_teams_in_Poland	58	10	48	4.8
Clackmannanshire	wordnet_county_108546183	16245	2816	13429	4.7688210227272725
Wellington_Gonçalves_Amorim	wikicat_Associação_Desportiva_São_Caetano_players	23	4	19	4.75
Chaudière-Appalaches	wordnet_administrative_district_108491826	23	4	19	4.75
Félix_Ricardo_Torres	wikicat_Hércules_CF_footballers	46	8	38	4.75
Sheffield	wikicat_Towns_in_South_Yorkshire	63	11	52	4.7272727272727275
The_Story_of_Alexander_Graham_Bell	wikicat_Black-and-white_films	17	3	14	4.666666666666667
Motala	wikicat_Municipalities_of_Sweden	17	3	14	4.666666666666667
Yago_Alonso-Fueyo_Sako	wikicat_People_from_Abidjan	175	31	144	4.645161290322581
de/Dolný_Zemplín	wikicat_Regions_of_Slovakia	45	8	37	4.625
Hermann_Hreiðarsson	wikicat_Crystal_Palace_F.C._players	73	13	60	4.615384615384615
Lukáš_Zelenka	wikicat_Manisaspor_footballers	429	77	352	4.571428571428571
Nobel_Memorial_Prize_in_Economic_Sciences	wordnet_award_106696483	206	37	169	4.5675675675675675
MFK_Košice	wordnet_club_108227214	22	4	18	4.5
Windham_County,_Connecticut	wordnet_county_108546183	33	6	27	4.5
August_Wilhelm_von_Hofmann	wikicat_Ethnic_German_people	11	2	9	4.5
Alianza_F.C.	wikicat_Football_clubs_in_El_Salvador	889	162	727	4.487654320987654
Rosa_Luxemburg	wikicat_20th-century_women	307	56	251	4.482142857142857
IEEE_Edison_Medal	wikicat_Engineering_awards	369	68	301	4.426470588235294
Étoile_Carouge_FC	wikicat_Football_clubs_in_Switzerland	227	42	185	4.404761904761905
Edgar_Award	wikicat_American_film_awards	27	5	22	4.4
Hapoel_Nir_Ramat_HaSharon_F.C.	wikicat_Football_clubs_in_Israel	81	15	66	4.4
Bob_Hope	wikicat_British_humorists	172	32	140	4.375
Ballon_d'Or_(1956–2009)	wordnet_award_106696483	75	14	61	4.357142857142857
Mato_Neretljak	wikicat_Expatriate_footballers_in_South_Korea	16	3	13	4.333333333333333
Yevhen_Lutsenko	wikicat_Ukrainian_expatriate_footballers	16	3	13	4.333333333333333
Dan_Aykroyd	wordnet_comedian_109940146	53	10	43	4.3
Jared_Borgetti	wikicat_Cruz_Azul_footballers	53	10	43	4.3
Iván_Guerrero	wikicat_San_Jose_Earthquakes_players	21	4	17	4.25
Mars_Attacks!	wikicat_American_comedy_science_fiction_films	84	16	68	4.25
Tisch_School_of_the_Arts	wikicat_Educational_institutions_established_in_1965	1065	207	858	4.144927536231884
Des_Plaines,_Illinois	wikicat_Populated_places_established_in_1852	6835	1333	5502	4.127531882970743
Ian_Moores	wikicat_Bolton_Wanderers_F.C._players	41	8	33	4.125
Michael_Nyman	wikicat_Virgin_Records_artists	594	116	478	4.120689655172414
Central_Banat_District	wikicat_Districts_of_Serbia	46	9	37	4.111111111111111
Laurent_Schwartz	wikicat_French_atheists	56	11	45	4.090909090909091
Eric_Idle	wikicat_21st-century_composers	5864	1164	4700	4.037800687285223
Aaran_Lines	wikicat_VfL_Osnabrück_players	2395	476	1919	4.031512605042017
Émile_Mpenza	wikicat_1998_FIFA_World_Cup_players	186	37	149	4.027027027027027
Migen_Memelli	wikicat_KS_Teuta_Durrës_players	5	1	4	4.0
Indian_Ocean	wikicat_Oceans	5	1	4	4.0
Hendrich_Miller_Meireles_Bernardo	wikicat_Living_people	5	1	4	4.0
GLAAD_Media_Award	wikicat_American_television_awards	10	2	8	4.0
June_Allyson	wikicat_People_from_New_York_City	5	1	4	4.0
Amarjeet_Sohi	wikicat_Living_people	5	1	4	4.0
Rotherham_United_F.C.	wikicat_Football_League_clubs	5	1	4	4.0
Kittitas_County,_Washington	wikicat_Washington_(state)_counties	5	1	4	4.0
Port-au-Prince	wikicat_Capitals_in_North_America	5	1	4	4.0
Evesham_United_F.C.	wordnet_club_108227214	5	1	4	4.0
Islamabad	wikicat_Planned_capitals	5	1	4	4.0
Carlisle_United_F.C.	wordnet_club_108227214	5	1	4	4.0
FC_Levadia_Tallinn	wikicat_Meistriliiga_clubs	5	1	4	4.0
Sudan	wikicat_Least_developed_countries	5	1	4	4.0
Jürgen_Moser	wikicat_People_from_Königsberg	598	121	477	3.9421487603305785
Richard_Feynman	wikicat_Quantum_physicists	84	17	67	3.9411764705882355
C._S._Lewis	wikicat_Fantasy_writers	676	137	539	3.934306569343066
Michael_Hughes_(footballer)	wikicat_Manchester_City_F.C._players	74	15	59	3.933333333333333
Costa-Gavras	wikicat_French_film_directors	477	97	380	3.917525773195876
Nazir_Kazharov	wikicat_FC_Volgar_Astrakhan_players	245	50	195	3.9
Paul_Dickov	wikicat_Leeds_United_A.F.C._players	39	8	31	3.875
North_Holland	wikicat_Peninsulas_of_Europe	523	108	415	3.8425925925925926
Stuart_Fleetwood	wikicat_Cardiff_City_F.C._players	53	11	42	3.8181818181818183
Clinton_County,_Ohio	wordnet_county_108546183	48	10	38	3.8
Christian_Bassila	wikicat_Bundesliga_players	24	5	19	3.8
Alex_Afonso	wikicat_FC_Alverca_players	2546	533	2013	3.776735459662289
Manuel_Almunia	wikicat_Watford_F.C._players	57	12	45	3.75
Cyprus	wikicat_States_and_territories_established_in_1960	2468	521	1947	3.7370441458733206
Beloit,_Wisconsin	wordnet_administrative_district_108491826	71	15	56	3.7333333333333334
Palm_Springs,_California	wordnet_administrative_district_108491826	85	18	67	3.7222222222222223
ARIA_Music_Awards	wordnet_award_106696483	118	25	93	3.72
Transylvania	wikicat_Former_countries_in_Europe	2874	609	2265	3.7192118226600983
Andy_Williams_(Jamaican_footballer)	wikicat_1998_FIFA_World_Cup_players	1076	229	847	3.6986899563318776
Ezequiel_Lavezzi	wikicat_People_from_Santa_Fe_Province	42	9	33	3.6666666666666665
