Dennis_Cagara	wikicat_Brøndby_IF_players
Kryvyi_Rih	wordnet_administrative_district_108491826
Agadir	wikicat_Metropolitan_areas_of_Morocco
Viktor_Melnyk	wikicat_FC_Metalist_Kharkiv_players
US_Dax	wikicat_Rugby_clubs_established_in_1904
Hillerød	wikicat_Municipalities_of_Denmark
Cyprus	wikicat_Western_Asian_countries
Adam_Smith	wikicat_Alumni_of_Balliol_College,_Oxford
Nico_Claesen	wikicat_K._Beringen_F.C._players
Pavelas_Leusas	wikicat_Living_people
Hugo_Grotius	wikicat_17th-century_Dutch_people
Paul_Erdős	wikicat_Hungarian_mathematicians
Thomas_Jefferson	wikicat_People_of_the_American_Enlightenment
Joanne_Whalley	wikicat_English_expatriates_in_the_United_States
Kate_Bush	wikicat_Living_people
Jelle_Van_Damme	wikicat_R.S.C._Anderlecht_players
Gabriel_Cichero	wikicat_FC_Sion_players
A.C._Reggiana_1919	wikicat_Lega_Pro_Prima_Divisione_clubs
Björn_Ziegenbein	wikicat_Hallescher_FC_players
Julia_Kristeva	wikicat_People_from_Sliven
Pierre_Bourdieu	wikicat_French_people
C.D._Portosantense	wordnet_club_108227214
Gaston_Bachelard	wikicat_French_poets
Niterói	wikicat_Ports_and_harbours_of_Brazil
Bontang_F.C.	wikicat_Football_clubs_in_Indonesia
Jean-Luc_Godard	wikicat_Cinematographers
John_Coleman_(footballer_born_1962)	wikicat_Burscough_F.C._players
Essen	wikicat_Cities_in_North_Rhine-Westphalia
Alain_Juppé	wikicat_French_Foreign_Ministers
İstanbulspor_A.Ş.	wordnet_club_108227214
Peter_David	wikicat_LGBT_rights_activists_from_the_United_States
Guinea-Bissau	wikicat_Least_developed_countries
South_Korea	wikicat_Member_states_of_the_United_Nations
Michèle_Alliot-Marie	wordnet_officeholder_110371450
Charles_K._Kao	wikicat_American_electrical_engineers
Douala	wikicat_Populated_places_in_Cameroon
Karl_Marx	wikicat_Revolutionaries
Kamyaran_County	wikicat_Counties_of_Iran
Writers_Guild_of_America_Award	wikicat_American_film_awards
Rebecca_De_Mornay	wikicat_Artists_from_California
Peter_Boyle_(film_editor)	wikicat_English_film_editors
Didier_Six	wikicat_1978_FIFA_World_Cup_players
Chemnitz	wikicat_University_towns_in_Germany
Nottingham_Forest_F.C.	wikicat_Premier_League_clubs
Cornelia_Funke	wikicat_People_from_North_Rhine-Westphalia
Libya	wikicat_Islamic_states
Danny_Szetela	wikicat_Soccer_players_from_New_Jersey
Kate_Bush	wikicat_Art_rock_musicians
Dawid_Janczyk	wikicat_Legia_Warsaw_players
Rampla_Juniors	wordnet_club_108227214
Lennart_Meri	wikicat_Screenwriters
Grzegorz_Szamotulski	wikicat_Preston_North_End_F.C._players
Bob_Dylan	wikicat_Writers
Nabil_Taïder	wikicat_Tunisia_international_footballers
German_language	wikicat_High_German_languages
Henry_Adams	wikicat_Fellows_of_the_American_Academy_of_Arts_and_Sciences
Quentin_Tarantino	wikicat_American_television_actors
Frédéric_Bastiat	wikicat_Roman_Catholic_philosophers
Andrea_Carnevale	wikicat_Living_people
Rot-Weiß_Oberhausen	wikicat_Athletics_clubs_in_Germany
Gosford_Park	wikicat_Independent_films
Agadir	wikicat_Prefectures_of_Morocco
Club_Deportivo_Árabe_Unido	wikicat_Football_clubs_in_Panama
Nelson_Cuevas	wikicat_Association_football_forwards
Newbery_Medal	wordnet_award_106696483
Ali_Gibb	wikicat_English_footballers
Stephen_Hawking	wikicat_Fellows_of_the_Royal_Society
Cambodia	wikicat_Member_states_of_La_Francophonie
Clay_Walker	wikicat_Living_people
Tuolumne_County,_California	wordnet_administrative_district_108491826
Philippines	wikicat_Island_countries
Nelly_Furtado	wikicat_Canadian_record_producers
Michael_Madsen	wikicat_20th-century_American_male_actors
Willard_Van_Orman_Quine	wikicat_Fellows_of_the_Committee_for_Skeptical_Inquiry
Marin_Petrov	wikicat_PFC_Lokomotiv_Plovdiv_players
Andreas_Lipa	wikicat_LASK_Linz_players
PFC_Rilski_Sportist_Samokov	wikicat_Association_football_clubs_established_in_1924
Willie_Dixon	wikicat_African-American_musicians
Bolivia	wikicat_Spanish-speaking_countries_and_territories
Rolf_Schock_Prizes	wikicat_Music_awards
Novi_Sad	wikicat_Municipalities_and_cities_of_Vojvodina
Paul_Furlong	wikicat_St_Albans_City_F.C._players
Marco_Simone	wikicat_OGC_Nice_players
Pierre-Joseph_Proudhon	wikicat_Libertarian_socialists
Mário_Jardel	wikicat_Galatasaray_S.K._footballers
Montenegro	wordnet_country_108544813
New_York_Stories	wordnet_movie_106613686
Germán_Denis	wikicat_Quilmes_footballers
Dan_Castellaneta	wikicat_American_people
Boston_United_F.C.	wikicat_Southern_Football_League_clubs
Chaudière-Appalaches	wikicat_Administrative_regions_of_Quebec
Miljan_Mrdaković	wikicat_K.A.A._Gent_players
Alice_O'Fredericks	wikicat_People_from_Gothenburg
Ramon_Llull	wikicat_Alchemists
Zvonimir_Vukić	wikicat_Serbian_expatriates_in_Russia
Werner_Stengel	wikicat_Ethnic_German_people
Edward_Gorey	wikicat_American_writers
Fred_Astaire	wikicat_Film_choreographers
Navy_Cross	wikicat_Military_awards_and_decorations_of_the_United_States
Washington,_D.C.	wikicat_Planned_capitals
Consadole_Sapporo	wordnet_club_108227214
Sheffield	wikicat_Cities_in_Yorkshire_and_the_Humber
Kenneth_G._Wilson	wikicat_Putnam_Fellows
José_Carlos_Leite_de_Sousa	wikicat_Portuguese_expatriates_in_Cyprus
Jürgen_Moser	wikicat_American_scientists
Stavros_Glouftsis	wikicat_Belgian_people_of_Greek_descent
Michel_Garbini_Pereira	wikicat_Clube_Atlético_Mineiro_players
Alexander_R._Todd,_Baron_Todd	wikicat_British_people
Rade_Đokić	wikicat_Association_football_forwards
Sejad_Halilović	wikicat_HNK_Rijeka_players
Eskişehirspor	wikicat_Association_football_clubs_established_in_1965
Val_Kilmer	wikicat_American_male_television_actors
Dimitrios_Papadopoulos	wikicat_Uzbekistani_footballers
Ted_Eck	wikicat_People_from_Springfield,_Illinois
Tony_Curtis	wikicat_Male_actors_from_California
Jesper_Blomqvist	wikicat_Parma_F.C._players
Carl_Sagan	wikicat_People_from_New_York
Barry_Manilow	wikicat_20th-century_American_actors
Ostend	wikicat_Port_cities_and_towns_of_the_North_Sea
nl/Luzon_(eiland)	wordnet_island_109316454
Vasile_Miriuță	wikicat_2._Bundesliga_players
Lennart_Meri	wikicat_Government_ministers_of_Estonia
Samuel_Firmino_de_Jesus	wikicat_Expatriate_footballers_in_Belgium
Ross_County_F.C.	wikicat_Scottish_Professional_Football_League_teams
Derek_Lyle	wikicat_Scottish_footballers
D.C._United	wikicat_Association_football_clubs_established_in_1996
Haiti	wikicat_Island_countries
Javier_Saviola	wikicat_Argentina_under-20_international_footballers
Tomislav_Ivković	wikicat_UEFA_Euro_1984_players
Order_of_Abdulaziz_Al_Saud	wikicat_Awards_established_in_1971
Lee_Holmes	wikicat_Derby_County_F.C._players
Radomsko_County	wikicat_Counties_of_Poland
Bryan_Bracey	wikicat_Liga_ACB_players
Nabil_Taïder	wikicat_France_under-21_international_footballers
Robert_Anton_Wilson	wikicat_Writers_from_New_York_City
Graeme_Atkinson	wikicat_English_footballers
Hajdú-Bihar_County	wikicat_Counties_of_Hungary
Romuald_Peiser	wikicat_Ligue_2_players
Brentford_F.C.	wikicat_Association_football_clubs_established_in_1889
Prêt-à-Porter_(film)	wikicat_Spanish-language_films
Thomas_Jefferson	wordnet_officeholder_110371450
Javier_Saviola	wikicat_Expatriate_footballers_in_France
Wellington_Katzor_de_Oliveira	wikicat_Expatriate_footballers_in_Japan
Gmina_Jasło	wordnet_administrative_district_108491826
Bruno_Marioni	wikicat_Primera_División_Argentina_players
Josef_Obajdin	wikicat_Czech_expatriate_footballers
Tehran	wikicat_Populated_places_in_Tehran_County
Lionel_Jospin	wikicat_Officers_of_the_National_Order_of_Quebec
Queens_Park_Rangers_F.C.	wikicat_Football_clubs_in_England
Finland	wikicat_Member_states_of_the_European_Union
Giulietta_Masina	wikicat_People_from_the_Province_of_Bologna
Kate_Bush	wikicat_British_composers
Godfrey_Ingram	wikicat_Tacoma_Stars_players
Desmond_Child	wikicat_Songwriters
Rimini	wikicat_Cities_and_towns_in_Italy
Evander_Sno	wikicat_RKC_Waalwijk_players
David_Freeman_(Irish_footballer)	wikicat_Shelbourne_F.C._players
Mercedes_Lackey	wikicat_American_novelists
Portimonense_S.C.	wikicat_Multi-sport_clubs
Collin_Samuel	wikicat_Ternana_Calcio_players
S.L._Benfica	wikicat_Golf_clubs_and_courses_in_Portugal
Nils_Petersen	wikicat_FC_Bayern_Munich_players
José_Sebastião_Pires_Neto	wikicat_K_League_players
Radostin_Kishishev	wikicat_Charlton_Athletic_F.C._players
David_Cox_(statistician)	wikicat_British_statisticians
FK_Renova	wordnet_club_108227214
Carl_Friedrich_Gauss	wikicat_People_from_Brunswick
Elinton_Andrade	wikicat_Vicenza_Calcio_players
Derry_City_F.C.	wikicat_Association_football_clubs_in_Derry_Urban_Area
Key_West,_Florida	wikicat_Cities_in_Florida
Giulio_Andreotti	wikicat_Italian_politicians
Massimo_Agostini	wikicat_People_from_Rimini
Ituano_Futebol_Clube	wikicat_Football_clubs_in_São_Paulo_(state)
Kilkenny	wikicat_Census_towns_in_County_Kilkenny
Urmuz	wikicat_Romanian_Land_Forces_officers
Fernando_Couto	wikicat_Portuguese_expatriate_footballers
Leopold_II,_Holy_Roman_Emperor	wikicat_People_from_Vienna
FC_Wacker_Innsbruck_(2002)	wikicat_Football_clubs_in_Austria
Andoni_Goikoetxea_Olaskoaga	wikicat_Association_football_defenders
Carole_King	wikicat_Jewish_American_composers_and_songwriters
Pierre-Emerick_Aubameyang	wikicat_Dijon_FCO_players
Darwin_International_Airport	wordnet_airport_102692232
Slovakia	wikicat_Slavic_countries_and_territories
Carlos_Vela	wikicat_People_from_Cancún
Venezuela_national_football_team	wikicat_South_American_national_association_football_teams
Gavin_Tomlin	wikicat_Southend_United_F.C._players
Decatur_County,_Indiana	wordnet_county_108546183
Giulietta_Masina	wikicat_Italian_actors
Felix_Klein	wikicat_19th-century_German_mathematicians
Jaani_Dushman	wikicat_1979_films
Luis_Tonelotto	wikicat_San_Lorenzo_footballers
Hagfors_Municipality	wikicat_Municipalities_of_Sweden
Vittorio_Gassman	wikicat_Accademia_Nazionale_di_Arte_Drammatica_Silvio_D'Amico_alumni
Ginger_Rogers	wikicat_American_tap_dancers
Howard_Stern	wikicat_American_actors
Boston_United_F.C.	wikicat_Northern_Premier_League_clubs
Antonio_Gramsci	wikicat_20th-century_Italian_politicians
Jeremías_Caggiano	wikicat_Expatriate_footballers_in_Ecuador
Rockdale_City_Suns_FC	wikicat_National_Premier_Leagues_clubs
Newton,_Massachusetts	wikicat_Populated_places_established_in_1630
Kate_Bush	wikicat_Singers_with_a_four-octave_vocal_range
Zhongzheng_District	wikicat_Neighborhoods
Shelley_Winters	wikicat_Actresses_from_St._Louis,_Missouri
Fifth_Crusade	wordnet_conflict_100958896
Dwight_Pezzarossi	wikicat_Guatemalan_expatriates_in_Chile
Bellflower,_California	wikicat_Incorporated_cities_and_towns_in_California
Chicago_Bulls	wikicat_Sports_clubs_established_in_1966
Sydney_Brenner	wikicat_South_African_geneticists
Guilherme_Siqueira	wikicat_Expatriate_footballers_in_Spain
Valeriu_Andronic	wikicat_FK_Bohemians_Prague_(Střížkov)_players
Chuck_Palahniuk	wikicat_21st-century_novelists
Nicolae_Iorga	wikicat_Romanian_academics
Madeleine_L'Engle	wikicat_American_women_novelists
Tony_Cottee	wikicat_English_football_managers
Paulo_Rink	wikicat_K_League_players
Benjamin_Fondane	wikicat_20th-century_French_philosophers
Elia_Kazan	wikicat_American_film_directors
Morten_Skoubo	wikicat_Danish_expatriates_in_Germany
Třinec	wikicat_Cities_and_towns_in_the_Czech_Republic
Rose_McGowan	wikicat_Italian_television_actors
New_Hampshire	wikicat_States_and_territories_established_in_1788
William_Wyler	wikicat_American_people_of_Swiss_descent
Uusimaa	wikicat_Regions_of_Finland
Tony_Morley	wikicat_Aston_Villa_F.C._players
Martin_County,_Minnesota	wordnet_county_108546183
Hugo_Henrique_Assis_do_Nascimento	wikicat_Expatriate_footballers_in_Mexico
Conall_Murtagh	wikicat_Players_in_the_Welsh_Premier_League
Asier_Riesgo	wikicat_Spanish_footballers
Giuseppe_Moro	wikicat_Hellas_Verona_F.C._players
Jane_Nikolovski	wikicat_Macedonian_football_managers
Gene_Kelly	wikicat_20th-century_American_male_actors
Jane_Seymour_(actress)	wikicat_English_television_actors
Tristan_Tzara	wikicat_Romanian_literary_critics
Črnomelj	wikicat_Populated_places_in_the_Municipality_of_Črnomelj
Ermin_Rakovič	wikicat_Slovenian_expatriates_in_Turkey
Audrey_Hepburn	wikicat_British_models
Varna	wikicat_Cities_in_Bulgaria
Pakistan	wikicat_Developing_8_Countries_member_states
Samir_Beloufa	wikicat_French_people_of_Algerian_descent
Kosta_Barbarouses	wikicat_Wellington_Phoenix_FC_players
Nildeson	wikicat_Salvadoran_footballers
Armin_Veh	wikicat_Borussia_Mönchengladbach_players
Philippe_Séguin	wikicat_Politicians_of_the_French_Fifth_Republic
Gacko	wordnet_administrative_district_108491826
Pierre_Bourdieu	wikicat_Philosophers_of_social_science
Trinity_College,_Cambridge	wikicat_Educational_institutions_established_in_the_1540s
Electorate_of_Bavaria	wikicat_States_of_the_Holy_Roman_Empire
Luca_Tognozzi	wikicat_Sorrento_Calcio_players
Jean_Calvé	wikicat_Living_people
Volodymyr_Olefir	wikicat_PFC_Neftchi_players
Rubén_Omar_Romano	wikicat_Club_Necaxa_footballers
Woodstock,_Illinois	wikicat_Cities_in_Illinois
Denis_Glavina	wikicat_Expatriate_footballers_in_Poland
Jeff_Bridges	wikicat_American_people
Columbus,_Georgia	wordnet_administrative_district_108491826
West_Virginia	wordnet_administrative_district_108491826
San_Jose_Grizzlies	wikicat_California_soccer_teams
Charles_Stross	wikicat_Dungeons_&amp;_Dragons_game_designers
Michèle_Alliot-Marie	wikicat_Government_ministers_of_France
Jamario_Moon	wikicat_Harlem_Globetrotters_players
Heath_Ledger	wikicat_Australian_people
Beed_district	wikicat_Districts_of_India
Bănel_Nicoliță	wikicat_FC_Politehnica_Timișoara_players
Yonkers,_New_York	wikicat_Cities_in_the_New_York_metropolitan_area
Elvis_Comrie	wikicat_Montreal_Manic_players
Roda_JC_Kerkrade	wordnet_club_108227214
César_Sampaio	wikicat_Sociedade_Esportiva_Palmeiras_players
Ludwig_Wittgenstein	wikicat_Wittgensteinian_philosophers
Goran_Gavrančić	wikicat_Ukrainian_Premier_League_players
Walt_Disney	wikicat_American_artists
Tarkan_Mustafa	wikicat_People_from_Islington
Spirits_of_the_Dead	wikicat_Ghost_films
Riga	wikicat_Port_cities_and_towns_of_the_Baltic_Sea
George_H._W._Bush	wikicat_American_people_of_Scottish_descent
Casino_Royale_(1967_film)	wikicat_Action_comedy_films
Norfolk	wikicat_Non-metropolitan_counties
George_Sand	wikicat_Writers_from_Paris
Racing_Club	wikicat_Football_clubs_in_Buenos_Aires_Province
Alexander_Rosen	wikicat_Eintracht_Frankfurt_players
Hunter_S._Thompson	wikicat_American_writers
Jean-Michel_Sigere	wikicat_Tonbridge_Angels_F.C._players
Necati_Ateş	wikicat_Galatasaray_S.K._footballers
Olympic_National_Park	wikicat_Parks_in_Mason_County,_Washington
Iggy_Pop	wikicat_A&amp;M_Records_artists
Trinity_College,_Dublin	wikicat_Educational_institutions_established_in_the_1590s
Mark_Quayle	wikicat_Living_people
Augsburg	wikicat_Roman_towns_and_cities_in_Germany
Néstor_Fabbri	wikicat_Argentine_footballers
Kassel	wikicat_Cities_in_Germany
SV_Werder_Bremen	wordnet_club_108227214
Ofir_Haim	wikicat_Süper_Lig_players
Tokyo	wikicat_Subdivisions_of_Japan
Martin_Luther	wikicat_German_Protestant_theologians
Ricardo_Jesus	wikicat_Associação_Portuguesa_de_Desportos_players
Martha_Plimpton	wikicat_People_from_Manhattan
Douglas_Hofstadter	wikicat_American_science_writers
John_C._Munro_Hamilton_International_Airport	wikicat_Airports_in_Canada
Order_of_the_White_Rose_of_Finland	wikicat_Civil_awards_and_decorations
Jiangsu_Guoxin-Sainty_F.C.	wikicat_Football_clubs_in_China
Esteban_Fuertes	wikicat_Argentine_footballers
Swizz_Beatz	wikicat_African-American_record_producers
Prix_mondial_Cino_Del_Duca	wordnet_award_106696483
Simon_Colosimo	wikicat_National_Soccer_League_(Australia)_players
Milton_Friedman	wikicat_American_people_of_Austrian-Jewish_descent
Apocalypse_Now_Redux	wikicat_American_epic_films
Rosa_Luxemburg	wikicat_20th-century_philosophers
Alexander_Herzen	wikicat_Russian_political_writers
Mukhsin_Mukhamadiev	wikicat_Association_football_forwards
Goytacaz_Futebol_Clube	wordnet_club_108227214
Yuri_Petrov	wikicat_FC_Spartak_Moscow_players
FK_Bregalnica_Štip	wikicat_Association_football_clubs_established_in_1921
Mao_Zedong	wikicat_Military_theorists
Anton_Robinson	wikicat_England_semi-pro_international_footballers
Wrexham_F.C.	wordnet_club_108227214
Tony_Caig	wikicat_Premier_League_players
Arshad_Warsi	wikicat_Indian_people
Roy_Essandoh	wikicat_East_Fife_F.C._players
Windsor,_Vermont	wikicat_Former_United_States_state_capitals
John_F._Kennedy	wikicat_Assassinated_heads_of_state
Louie_Soares	wikicat_Ebbsfleet_United_F.C._players
Boston_United_F.C.	wikicat_Former_Football_League_clubs
Pedro_Monzón	wikicat_Expatriate_footballers_in_Peru
Vinnytsia	wordnet_administrative_district_108491826
Jennifer_Connelly	wikicat_American_actors
Tommy_Craig	wikicat_Newcastle_United_F.C._players
Sutton_United_F.C.	wordnet_club_108227214
Rahman_Rezaei	wikicat_Rah_Ahan_players
Vicenza_Calcio	wikicat_Serie_A_clubs
Mojave_Desert	wikicat_Deserts
Barry_Bridges	wikicat_Chelsea_F.C._players
Irem	wikicat_Video_game_companies_of_Japan
Real_Oviedo	wikicat_Association_football_clubs_established_in_1926
Guilherme_Siqueira	wikicat_La_Liga_footballers
Mamary_Traoré	wikicat_Montpellier_HSC_players
Dominican_Republic	wikicat_Spanish-speaking_countries_and_territories
George_Orwell	wikicat_British_police_officers
Milan_Purović	wikicat_NK_Olimpija_Ljubljana_players
Jandro_(footballer)	wikicat_CD_Numancia_players
Denis_Caniza	wikicat_Paraguayan_expatriate_footballers
Aragua	wikicat_Subdivisions_of_Venezuela
Nicomedia	wordnet_administrative_district_108491826
Glyn_Hodges	wikicat_English_football_managers
FC_Ceahlăul_Piatra_Neamț	wikicat_Football_clubs_in_Romania
Steven_Weinberg	wikicat_String_theorists
FC_Petržalka_1898	wordnet_club_108227214
Grégory_Béranger	wikicat_La_Liga_footballers
Robert_Altman	wikicat_People_from_the_Kansas_City_metropolitan_area
Jim_Wells_County,_Texas	wordnet_county_108546183
South_Sudan	wikicat_Countries
Ted_Hughes	wikicat_British_people
Shawnelle_Scott	wikicat_San_Antonio_Spurs_players
Jesper_Blomqvist	wikicat_Expatriate_footballers_in_Italy
Zimbabwe	wikicat_Bantu_countries_and_territories
Sheffield_United_F.C.	wikicat_Association_football_clubs_established_in_1889
San_Francisco	wikicat_Populated_places_established_in_1776
Domodedovo_International_Airport	wikicat_Airports
Punjab,_Pakistan	wordnet_administrative_district_108491826
Eduard_Văluţă	wikicat_Expatriate_footballers_in_Belarus
Valletta	wikicat_Planned_cities
Radu_Niculescu	wikicat_Süper_Lig_players
Lee_Matthews	wikicat_Bristol_Rovers_F.C._players
HCC/net_Martinus_Amstelveen	wikicat_Dutch_volleyball_clubs
Mani_Ratnam	wikicat_Indian_screenwriters
Sead_Ramović	wikicat_Expatriate_footballers_in_Serbia
Morocco_national_football_team	wordnet_football_team_108080025
Wittenberg	wikicat_World_Heritage_Sites_in_Germany
Liga_Profesional_de_Baloncesto	wordnet_league_108231184
Srđan_Urošević	wikicat_Serbian_SuperLiga_players
Boston_College	wikicat_Educational_institutions_established_in_1863
University_of_Königsberg	wikicat_Educational_institutions_established_in_the_1540s
Madrid	wikicat_Populated_places_in_the_Community_of_Madrid
Hannes_Sigurðsson	wikicat_Stoke_City_F.C._players
Jackass_Number_Two	wordnet_movie_106613686
E._G._Marshall	wikicat_American_people_of_Norwegian_descent
Suntory_Sungoliath	wikicat_Sports_clubs_established_in_1980
Russia_national_football_team	wikicat_National_sports_teams_of_Russia
War_in_Afghanistan_(2001–present)	wikicat_Ongoing_conflicts
Júlio_César_(footballer,_born_1978)	wikicat_Expatriate_footballers_in_Portugal
David_González_Giraldo	wikicat_Expatriate_footballers_in_Scotland
Doudou_Diaw	wikicat_Association_football_defenders
Chris_Wilder	wikicat_Halifax_Town_A.F.C._players
Wolverhampton	wordnet_site_108651247
Özlem_Özçelik	wikicat_Turkish_expatriate_volleyball_players
FC_Kuusysi	wikicat_Association_football_clubs_established_in_1934
Baotou_Erliban_Airport	wikicat_Airports_in_Inner_Mongolia
John_von_Neumann	wikicat_Hungarian_nuclear_physicists
Fred_Astaire	wikicat_RCA_Victor_artists
David_Moyes	wikicat_Association_football_defenders
Javed_Jaffrey	wikicat_People_from_Mumbai
Bob_Dylan	wikicat_Rock_singers
Igor_Mostarlić	wikicat_NK_Osijek_players
Grzegorz_Szamotulski	wikicat_Legia_Warsaw_managers
Jeff_Bourne	wikicat_Oklahoma_City_Slickers_(ASL)_players
Paris_Saint-Germain_F.C.	wikicat_Unrelegated_association_football_clubs
